type_of_service,actual_year,vessel_country_code,count,row_num,country_name
Pier to House,2020,LR,102330,2,Liberia
Pier to House,2020,HK,94481,3,Hong Kong
Pier to House,2020,MT,83924,4,Malta
Pier to House,2020,SG,69528,5,Singapore
Pier to House,2020,MH,41277,6,Marshall Islands
Pier to House,2020,US,32691,7,United States
Pier to House,2020,DE,31852,8,Germany
Pier to House,2020,DK,31618,9,Denmark
Pier to House,2020,GB,31232,10,United Kingdom
Pier to Pier,2018,LR,816230,1,Liberia
Pier to Pier,2018,SG,667257,2,Singapore
Pier to Pier,2018,HK,597202,3,Hong Kong
Pier to Pier,2018,PA,594807,4,Panama
Pier to Pier,2018,GB,546638,5,United Kingdom
Pier to Pier,2018,MH,330586,6,Marshall Islands
Pier to Pier,2018,CY,262095,7,Cyprus
Pier to Pier,2018,MT,224538,8,Malta
Pier to Pier,2018,PT,201786,9,Portugal
Pier to Pier,2018,DK,191639,10,Denmark
Pier to Pier,2019,LR,766471,1,Liberia
Pier to Pier,2019,HK,719697,2,Hong Kong
Pier to Pier,2019,PA,652135,3,Panama
Pier to Pier,2019,SG,641612,4,Singapore
Pier to Pier,2019,MT,469413,5,Malta
Pier to Pier,2019,GB,349406,6,United Kingdom
Pier to Pier,2019,MH,342395,7,Marshall Islands
Pier to Pier,2019,DK,270845,8,Denmark
Pier to Pier,2019,US,248472,9,United States
Pier to Pier,2019,DE,181670,10,Germany
Pier to Pier,2020,LR,604803,1,Liberia
Pier to Pier,2020,MT,559885,2,Malta
Pier to Pier,2020,HK,555637,3,Hong Kong
Pier to Pier,2020,PA,460598,4,Panama
Pier to Pier,2020,SG,385761,5,Singapore
Pier to Pier,2020,US,259321,6,United States
Pier to Pier,2020,GB,235381,7,United Kingdom
Pier to Pier,2020,DK,188567,8,Denmark
Pier to Pier,2020,MH,186274,9,Marshall Islands
Pier to Pier,2020,DE,165404,10,Germany
Roll on Roll Off,2018,US,1547,1,United States
Roll on Roll Off,2018,GB,934,2,United Kingdom
Roll on Roll Off,2018,TG,732,3,Togo
Roll on Roll Off,2018,VU,581,4,Vanuatu
Roll on Roll Off,2018,PA,236,5,Panama
Roll on Roll Off,2018,NO,89,6,Norway
Roll on Roll Off,2018,HK,74,7,Hong Kong
Roll on Roll Off,2018,IT,51,8,Italy
Roll on Roll Off,2018,SG,34,9,Singapore
Roll on Roll Off,2018,PT,28,10,Portugal
Roll on Roll Off,2019,TG,1377,1,Togo
Roll on Roll Off,2019,VU,1136,2,Vanuatu
Roll on Roll Off,2019,US,663,3,United States
Roll on Roll Off,2019,PA,468,4,Panama
Roll on Roll Off,2019,GB,371,5,United Kingdom
Roll on Roll Off,2019,NO,200,6,Norway
Roll on Roll Off,2019,IT,126,7,Italy
Roll on Roll Off,2019,KY,34,8,Cayman Islands
Roll on Roll Off,2019,DE,14,9,Germany
Roll on Roll Off,2019,SE,11,10,Sweden
Roll on Roll Off,2020,TG,1534,1,Togo
Roll on Roll Off,2020,VU,733,2,Vanuatu
Roll on Roll Off,2020,PA,216,3,Panama
Roll on Roll Off,2020,NO,84,4,Norway
Roll on Roll Off,2020,LR,14,5,Liberia
Roll on Roll Off,2020,JP,11,6,Japan
Roll on Roll Off,2020,SG,10,7,Singapore
Roll on Roll Off,2020,MT,7,8,Malta
Roll on Roll Off,2020,GB,2,9,United Kingdom
Roll on Roll Off,2020,TH,2,10,Thailand
