shipper_party_name,count,mean_delay,% Total
FORJAS ESPECIALIZADAS DE BRONCE S A,57,-19.75438596491228,0.0003241915671858301
INDUSTRIALIZADORA INTEGRAL,275,-19.752727272727274,0.0015640821223877766
EQUIPO AUTOMOTRIZ AMERICANA SA DE,133,-19.639097744360903,0.0007564469901002702
ALCUMATIC A/S,88,-19.636363636363637,0.0005005062791640885
PLASTICOS ESPECIALES S.A.S NIT8903,51,-19.627450980392158,0.00029006613906100583
WAYNE INDUSTRIA E COMERCIO LTDA,102,-19.61764705882353,0.0005801322781220117
POWERTRAIN MANUFACTURING MEXICO,57,-19.596491228070175,0.0003241915671858301
WORLD PREMIUM FRUITS SA DE CV,102,-19.58823529411765,0.0005801322781220117
GD AFFILATES S DE RL DE CV,93,-19.537634408602152,0.0005289441359347754
DANA CANADA CORP,166,-19.53012048192771,0.0009441368447868034
RUSTICOS PIAMONTE S DE RL DE CV,120,-19.516666666666666,0.0006825085624964844
TEKA AB,52,-19.5,0.0002957537104151432
BLEUETS SAUVAGES DU QUEBEC INC.,53,-19.49056603773585,0.0003014412817692806
ROHM AND HAAS MEXICO SA DE CV,51,-19.470588235294116,0.00029006613906100583
MPG MEXICO S DE RL DE CV,120,-19.466666666666665,0.0006825085624964844
ARBOMEX SA DE CV,98,-19.43877551020408,0.0005573819927054622
MONDELEZ MEXICO S DE RL DE CV,1583,-19.41250789639924,0.009003425453599456
AYTAN MERMER MADENCILIK,99,-19.404040404040405,0.0005630695640595996
HMY INNOVATION IN RETAIL MEXICO SA,273,-19.395604395604394,0.001552706979679502
JABIL CIRCUIT DE MEXICO S DE RL DE,82,-19.390243902439025,0.0004663808510392643
EFFEM MEXICO INC Y CIA S EN N C,499,-19.37675350701403,0.002838098105714547
RPI DE MEXICO S DE R L DE C V,56,-19.375,0.0003185039958316927
ROLF C. HAGEN INC..,54,-19.37037037037037,0.000307128853123418
AIRBUS HELICOPTERS MEXICO QUERETARO,65,-19.338461538461537,0.00036969213801892905
MIKUNI AMERICAN CORPORATION,71,-19.338028169014084,0.00040381756614375324
CLARIANT MEXICO SA DE CV,558,-19.310035842293907,0.0031736648156086523
ALUPLAST GMBH,120,-19.3,0.0006825085624964844
CORPORACION MITSUBA DE,71,-19.281690140845072,0.00040381756614375324
MENON ALKOP (DIVISION OF MENON BEAR,74,-19.27027027027027,0.0004208802802061654
PT ATEJA TRITUNGGAL,75,-19.24,0.0004265678515603027
"IEE SENSING GDL, S.A. DE C.V.",90,-19.233333333333334,0.0005118814218723633
FUJIKOKI DE MEXICO SA DE CV,131,-19.229007633587788,0.0007450718473919954
SOC.VINICOLA MIGUEL TORRES S.A.,61,-19.18032786885246,0.00034694185260237956
SUNPOWER CORPORATION,151,-19.158940397350992,0.0008588232744747428
NISSENS A/S,51,-19.137254901960784,0.00029006613906100583
BDF MEXICO S A DE C V,66,-19.106060606060606,0.00037537970937306643
CONTITECH MEXICANA SA DE CV,347,-19.10086455331412,0.0019735872598856674
MANUFACTURAS ZAPALINAME SA DE CV,244,-19.077868852459016,0.0013877674104095183
"HAINING JINDA COATING CO.,LTD",71,-19.070422535211268,0.00040381756614375324
PETRO CANADA LUBRICANTS INC,130,-19.06153846153846,0.0007393842760378581
FIRMENICH DE MEXICO SA DE CV,172,-19.023255813953487,0.0009782622729116277
"DANA DE MEXICO CORPORACION, S DE RL",51,-19.019607843137255,0.00029006613906100583
HALLIBURTON DE MEXICO,80,-19.0125,0.00045500570833098954
MOELLMANN INDUSTRIEBESCHL GE GMBH,52,-19.0,0.0002957537104151432
CHEMETALL MEXICANA SA DE CV,99,-18.96969696969697,0.0005630695640595996
COSMETICOS TRUJILLO SA DE CV,88,-18.920454545454547,0.0005005062791640885
NAX MFG S A DE C V,142,-18.91549295774648,0.0008076351322875065
"OMNITECH INNOVATIONS CO., LTD.",51,-18.901960784313726,0.00029006613906100583
CRIBAS Y EQUIPOS INDUSTRIALES S A,112,-18.848214285714285,0.0006370079916633854
"DALIAN DONGYI WOOD CO.,LTD",68,-18.808823529411764,0.00038675485208134114
GW PLASTICS MEXICANA S DE RL,66,-18.757575757575758,0.00037537970937306643
GATES DE MEXICO S.A. DE C.V.,255,-18.75294117647059,0.0014503306953050294
WIESAUPLAST-PMC DE MEXICO S DE RL,60,-18.75,0.0003412542812482422
CONTINENTAL AUTOMOTIVE MEXICANA S,63,-18.571428571428573,0.0003583169953106543
WIESAUPLAST SALES DE MEXICO,151,-18.47682119205298,0.0008588232744747428
CMT DE LA LAGUNA S A DE C V,182,-18.47252747252747,0.0010351379864530013
ROHM AND HAAS MEXICO,72,-18.458333333333332,0.0004095051374978907
DATALOGIC VIETNAM LLC,155,-18.45806451612903,0.0008815735598912923
SUN PSYLLIUM INDUSTRIES,68,-18.455882352941178,0.00038675485208134114
SCHOEBEL KRISTALLGLAS GMBH,54,-18.444444444444443,0.000307128853123418
EATON TRUCK COMPONENTS S DE RL,78,-18.423076923076923,0.0004436305656227148
BENTELER DE MEXICO SA DE CV,256,-18.421875,0.0014560182666591666
VALEO SISTEMAS ELECTRICOS SA DE CV,395,-18.39240506329114,0.002246590684884261
EUGANEA VASI S.R.L.,56,-18.375,0.0003185039958316927
INDUSTRIAL GUAR PRODUCTS PVT LTD,158,-18.367088607594937,0.0008986362739537045
INTERNATIONAL FLAVORS AND,206,-18.359223300970875,0.0011716396989522983
AUXIM DE MEXICO S DE RL DE CV,89,-18.303370786516854,0.000506193850518226
MERCK SA DE CV,117,-18.264957264957264,0.0006654458484340722
MAHLE COMPONENTES DE MOTOR DE,96,-18.145833333333332,0.0005460068499971876
FEDERAL MOGUL SA DE CV,98,-18.112244897959183,0.0005573819927054622
VINA CASA SILVA S.A.,167,-18.077844311377245,0.0009498244161409408
BROSE PUEBLA S.A. DE C.V.,171,-18.058479532163744,0.0009725747015574902
SONIC TEXTILE INDUSTRIES,170,-18.04705882352941,0.0009668871302033528
PT. HOWARD JEON GLOVE INDONESIA,80,-18.0375,0.00045500570833098954
MILEQUIP CORPORATION,63,-18.015873015873016,0.0003583169953106543
COLGATE PALMOLIVE SA DE CV,3116,-18.01155327342747,0.01772247233949204
SINOMA JIANGXI INSULATOR AND ELECTR,75,-18.0,0.0004265678515603027
FRUTAS Y HORTALIZAS ORGANICAS,67,-17.955223880597014,0.00038106728072720376
INDUSTRIAS MARTINREA DE MEXICO,108,-17.935185185185187,0.000614257706246836
TA DIEN PRINT ART CO LTD,93,-17.86021505376344,0.0005289441359347754
MEITU INTERNATIONAL TRADING LIMITED,209,-17.851674641148325,0.0011887024130147104
DENNIS COMPANY LTD,56,-17.821428571428573,0.0003185039958316927
BENTELER DE MEXICO,101,-17.801980198019802,0.0005744447067678744
