type_of_service,actual_year,actual_year,actual_year_month,vessel_country_code,count,row_num,country_name
Break Bulk,2020,2020,2020-03,LR,2565,3,Liberia
Break Bulk,2020,2020,2020-03,HK,1744,4,Hong Kong
Break Bulk,2020,2020,2020-03,SG,1525,5,Singapore
Break Bulk,2020,2020,2020-03,MT,1199,6,Malta
Break Bulk,2020,2020,2020-03,US,1092,7,United States
Break Bulk,2020,2020,2020-03,FR,930,8,France
Break Bulk,2020,2020,2020-03,MH,541,9,Marshall Islands
Break Bulk,2020,2020,2020-03,GB,528,10,United Kingdom
Break Bulk,2020,2020,2020-04,PA,4015,1,Panama
Break Bulk,2020,2020,2020-04,HK,2812,2,Hong Kong
Break Bulk,2020,2020,2020-04,LR,2650,3,Liberia
Break Bulk,2020,2020,2020-04,DE,1905,4,Germany
Break Bulk,2020,2020,2020-04,FR,1895,5,France
Break Bulk,2020,2020,2020-04,SG,1685,6,Singapore
Break Bulk,2020,2020,2020-04,US,1650,7,United States
Break Bulk,2020,2020,2020-04,GB,1408,8,United Kingdom
Break Bulk,2020,2020,2020-04,MT,795,9,Malta
Break Bulk,2020,2020,2020-04,MH,709,10,Marshall Islands
Break Bulk,2020,2020,2020-05,HK,4145,1,Hong Kong
Break Bulk,2020,2020,2020-05,PA,3545,2,Panama
Break Bulk,2020,2020,2020-05,LR,3334,3,Liberia
Break Bulk,2020,2020,2020-05,DE,1747,4,Germany
Break Bulk,2020,2020,2020-05,SG,1642,5,Singapore
Break Bulk,2020,2020,2020-05,US,1593,6,United States
Break Bulk,2020,2020,2020-05,JP,1288,7,Japan
Break Bulk,2020,2020,2020-05,MH,1244,8,Marshall Islands
Break Bulk,2020,2020,2020-05,MT,1184,9,Malta
Break Bulk,2020,2020,2020-05,GB,734,10,United Kingdom
Break Bulk,2020,2020,2020-06,PA,6063,1,Panama
Break Bulk,2020,2020,2020-06,HK,4487,2,Hong Kong
Break Bulk,2020,2020,2020-06,LR,3165,3,Liberia
Break Bulk,2020,2020,2020-06,DE,2177,4,Germany
Break Bulk,2020,2020,2020-06,JP,1851,5,Japan
Break Bulk,2020,2020,2020-06,US,1706,6,United States
Break Bulk,2020,2020,2020-06,SG,1572,7,Singapore
Break Bulk,2020,2020,2020-06,DK,1346,8,Denmark
Break Bulk,2020,2020,2020-06,MT,1184,9,Malta
Break Bulk,2020,2020,2020-06,GB,914,10,United Kingdom
Break Bulk,2020,2020,2020-07,PA,5832,1,Panama
Break Bulk,2020,2020,2020-07,HK,4283,2,Hong Kong
Break Bulk,2020,2020,2020-07,LR,2849,3,Liberia
Break Bulk,2020,2020,2020-07,MT,2411,4,Malta
Break Bulk,2020,2020,2020-07,SG,1967,5,Singapore
Break Bulk,2020,2020,2020-07,DE,1674,6,Germany
Break Bulk,2020,2020,2020-07,FR,1298,7,France
Break Bulk,2020,2020,2020-07,MH,1188,8,Marshall Islands
Break Bulk,2020,2020,2020-07,US,1176,9,United States
Break Bulk,2020,2020,2020-07,TW,983,10,Taiwan
Break Bulk,2020,2020,2020-08,LR,5718,1,Liberia
Break Bulk,2020,2020,2020-08,HK,5660,2,Hong Kong
Break Bulk,2020,2020,2020-08,PA,5421,3,Panama
Break Bulk,2020,2020,2020-08,DE,4514,4,Germany
Break Bulk,2020,2020,2020-08,SG,2736,5,Singapore
Break Bulk,2020,2020,2020-08,US,2080,6,United States
Break Bulk,2020,2020,2020-08,JP,2023,7,Japan
Break Bulk,2020,2020,2020-08,MT,1607,8,Malta
Break Bulk,2020,2020,2020-08,MH,1301,9,Marshall Islands
Break Bulk,2020,2020,2020-08,PT,1259,10,Portugal
Break Bulk,2020,2020,2020-09,PA,8234,1,Panama
Break Bulk,2020,2020,2020-09,HK,4526,2,Hong Kong
Break Bulk,2020,2020,2020-09,LR,3904,3,Liberia
Break Bulk,2020,2020,2020-09,DE,2276,4,Germany
Break Bulk,2020,2020,2020-09,GB,1359,5,United Kingdom
Break Bulk,2020,2020,2020-09,TW,1285,6,Taiwan
Break Bulk,2020,2020,2020-09,US,1095,7,United States
Break Bulk,2020,2020,2020-09,SG,1073,8,Singapore
Break Bulk,2020,2020,2020-09,MH,954,9,Marshall Islands
Break Bulk,2020,2020,2020-09,JP,939,10,Japan
Container Station,2018,2018,2018-01,LR,8582,1,Liberia
Container Station,2018,2018,2018-01,PA,7307,2,Panama
Container Station,2018,2018,2018-01,HK,6290,3,Hong Kong
Container Station,2018,2018,2018-01,GB,4568,4,United Kingdom
Container Station,2018,2018,2018-01,US,3388,5,United States
Container Station,2018,2018,2018-01,SG,3107,6,Singapore
Container Station,2018,2018,2018-01,MT,1840,7,Malta
Container Station,2018,2018,2018-01,PT,1627,8,Portugal
Container Station,2018,2018,2018-01,MH,854,9,Marshall Islands
Container Station,2018,2018,2018-01,JP,846,10,Japan
Container Station,2018,2018,2018-02,LR,9099,1,Liberia
Container Station,2018,2018,2018-02,PA,7702,2,Panama
Container Station,2018,2018,2018-02,SG,4052,3,Singapore
Container Station,2018,2018,2018-02,HK,3948,4,Hong Kong
Container Station,2018,2018,2018-02,US,3484,5,United States
Container Station,2018,2018,2018-02,GB,3155,6,United Kingdom
Container Station,2018,2018,2018-02,MT,1985,7,Malta
Container Station,2018,2018,2018-02,PT,1719,8,Portugal
Container Station,2018,2018,2018-02,DK,1596,9,Denmark
Container Station,2018,2018,2018-02,DE,1441,10,Germany
Container Station,2018,2018,2018-03,PA,6289,1,Panama
Container Station,2018,2018,2018-03,LR,5894,2,Liberia
Container Station,2018,2018,2018-03,US,4621,3,United States
Container Station,2018,2018,2018-03,HK,4393,4,Hong Kong
Container Station,2018,2018,2018-03,SG,3597,5,Singapore
Container Station,2018,2018,2018-03,MT,2480,6,Malta
Container Station,2018,2018,2018-03,MH,2433,7,Marshall Islands
Container Station,2018,2018,2018-03,GB,2075,8,United Kingdom
Container Station,2018,2018,2018-03,PT,1718,9,Portugal
Container Station,2018,2018,2018-03,DE,1655,10,Germany
Container Station,2018,2018,2018-04,LR,7234,1,Liberia
Container Station,2018,2018,2018-04,PA,6831,2,Panama
Container Station,2018,2018,2018-04,SG,5289,3,Singapore
Container Station,2018,2018,2018-04,HK,4967,4,Hong Kong
Container Station,2018,2018,2018-04,US,4128,5,United States
Container Station,2018,2018,2018-04,GB,3589,6,United Kingdom
Container Station,2018,2018,2018-04,MT,2266,7,Malta
Container Station,2018,2018,2018-04,PT,2041,8,Portugal
Container Station,2018,2018,2018-04,DK,1255,9,Denmark
Container Station,2018,2018,2018-04,DE,802,10,Germany
Container Station,2018,2018,2018-05,HK,7977,1,Hong Kong
Container Station,2018,2018,2018-05,LR,7648,2,Liberia
Container Station,2018,2018,2018-05,PA,7292,3,Panama
Container Station,2018,2018,2018-05,SG,5943,4,Singapore
Container Station,2018,2018,2018-05,US,4036,5,United States
Container Station,2018,2018,2018-05,GB,3448,6,United Kingdom
Container Station,2018,2018,2018-05,DK,2657,7,Denmark
Container Station,2018,2018,2018-05,MT,2184,8,Malta
Container Station,2018,2018,2018-05,DE,1357,9,Germany
Container Station,2018,2018,2018-05,MH,1214,10,Marshall Islands
Container Station,2018,2018,2018-06,HK,9400,1,Hong Kong
Container Station,2018,2018,2018-06,LR,8916,2,Liberia
Container Station,2018,2018,2018-06,SG,8163,3,Singapore
Container Station,2018,2018,2018-06,PA,7521,4,Panama
Container Station,2018,2018,2018-06,US,4536,5,United States
Container Station,2018,2018,2018-06,GB,3013,6,United Kingdom
Container Station,2018,2018,2018-06,MT,2253,7,Malta
Container Station,2018,2018,2018-06,DE,1443,8,Germany
Container Station,2018,2018,2018-06,DK,1416,9,Denmark
Container Station,2018,2018,2018-06,MH,1264,10,Marshall Islands
Container Station,2018,2018,2018-07,LR,10766,1,Liberia
Container Station,2018,2018,2018-07,SG,10188,2,Singapore
Container Station,2018,2018,2018-07,HK,8293,3,Hong Kong
Container Station,2018,2018,2018-07,PA,8005,4,Panama
Container Station,2018,2018,2018-07,US,6175,5,United States
Container Station,2018,2018,2018-07,GB,4359,6,United Kingdom
Container Station,2018,2018,2018-07,DK,3152,7,Denmark
Container Station,2018,2018,2018-07,MH,2392,8,Marshall Islands
Container Station,2018,2018,2018-07,TW,1986,9,Taiwan
Container Station,2018,2018,2018-07,MT,1753,10,Malta
Container Station,2018,2018,2018-08,LR,11778,1,Liberia
Container Station,2018,2018,2018-08,HK,8971,2,Hong Kong
Container Station,2018,2018,2018-08,PA,8819,3,Panama
Container Station,2018,2018,2018-08,SG,8748,4,Singapore
Container Station,2018,2018,2018-08,DK,6423,5,Denmark
Container Station,2018,2018,2018-08,US,4838,6,United States
Container Station,2018,2018,2018-08,GB,3637,7,United Kingdom
Container Station,2018,2018,2018-08,MH,2637,8,Marshall Islands
Container Station,2018,2018,2018-08,MT,2473,9,Malta
Container Station,2018,2018,2018-08,DE,2347,10,Germany
Container Station,2018,2018,2018-09,PA,8993,1,Panama
Container Station,2018,2018,2018-09,SG,7744,2,Singapore
Container Station,2018,2018,2018-09,LR,7656,3,Liberia
Container Station,2018,2018,2018-09,HK,6845,4,Hong Kong
Container Station,2018,2018,2018-09,US,4018,5,United States
Container Station,2018,2018,2018-09,MT,3055,6,Malta
Container Station,2018,2018,2018-09,GB,2871,7,United Kingdom
Container Station,2018,2018,2018-09,DK,2468,8,Denmark
Container Station,2018,2018,2018-09,MH,2138,9,Marshall Islands
Container Station,2018,2018,2018-09,DE,1884,10,Germany
Container Station,2018,2018,2018-10,LR,9108,1,Liberia
Container Station,2018,2018,2018-10,PA,8080,2,Panama
Container Station,2018,2018,2018-10,HK,7884,3,Hong Kong
Container Station,2018,2018,2018-10,SG,7251,4,Singapore
Container Station,2018,2018,2018-10,US,4434,5,United States
Container Station,2018,2018,2018-10,GB,4102,6,United Kingdom
Container Station,2018,2018,2018-10,MH,3220,7,Marshall Islands
Container Station,2018,2018,2018-10,MT,2922,8,Malta
Container Station,2018,2018,2018-10,DE,2313,9,Germany
Container Station,2018,2018,2018-10,DK,2047,10,Denmark
